track,artist,album,date_added,plays,popularity,acousticness,danceability,speechiness,tempo,time_signature,valence,energy,liveness,instrumentalness
Stay,Post Malone,beerbongs & bentleys,2018-05-01,1,83,0.41,0.48,0.03,85,4,0.35,0.47,0.15,0.0
Sugar Wraith,Post Malone,beerbongs & bentleys,2018-05-01,1,78,0.26,0.6,0.09,164,4,0.29,0.77,0.1,0.0
Candy Paint,Post Malone,beerbongs & bentleys,2018-05-01,1,85,0.63,0.67,0.15,180,4,0.44,0.65,0.07,0.0
92 Explorer,Post Malone,beerbongs & bentleys,2018-05-01,1,81,0.27,0.8,0.05,146,4,0.88,0.74,0.12,0.0
Jonestown (Interlude),Post Malone,beerbongs & bentleys,2018-05-01,1,72,0.75,0.34,0.04,78,4,0.25,0.5,0.26,0.46
Same Bitches (feat. G-Eazy & YG),Post Malone,beerbongs & bentleys,2018-05-01,1,80,0.38,0.73,0.06,99,4,0.21,0.77,0.11,0.0
Blame It On Me,Post Malone,beerbongs & bentleys,2018-05-01,1,78,0.14,0.65,0.04,121,4,0.32,0.59,0.15,0.0
Otherside,Post Malone,beerbongs & bentleys,2018-05-01,1,78,0.35,0.64,0.03,104,4,0.14,0.66,0.21,0.0
Tell Your Friends,The Weeknd,Beauty Behind The Madness,2015-08-28,1,32,0.25,0.58,0.05,74,4,0.31,0.46,0.18,0.0
TRIP,BROCKHAMPTON,SATURATION,2017-06-09,1,56,0.22,0.78,0.09,75,4,0.63,0.31,0.1,0.0
MILK,BROCKHAMPTON,SATURATION,2017-06-09,1,59,0.04,0.59,0.05,75,4,0.28,0.45,0.32,0.0
Before the Water Gets Too High,Parquet Courts,Wide Awake!,2018-05-24,1,52,0.07,0.49,0.03,150,4,0.57,0.79,0.35,0.13
Doomed User,Deftones,Gore,2016-05-29,1,47,0.0,0.12,0.09,165,3,0.26,0.95,0.11,0.14
I Thought About Killing You,Kanye West,ye,2018-06-01,1,73,0.82,0.74,0.43,116,4,0.39,0.41,0.05,0.0
Cop Shoot Cop...,Spiritualized,Ladies And Gentlemen We Are Floating In Space,2018-06-03,1,23,0.31,0.36,0.08,159,4,0.23,0.75,0.11,0.72
Cool Waves,Spiritualized,Ladies And Gentlemen We Are Floating In Space,2018-06-03,1,24,0.36,0.07,0.04,70,3,0.04,0.37,0.1,0.07
No God Only Religion,Spiritualized,Ladies And Gentlemen We Are Floating In Space,2018-06-03,1,23,0.02,0.14,0.05,99,4,0.28,0.8,0.15,0.0
Broken Heart,Spiritualized,Ladies And Gentlemen We Are Floating In Space,2018-06-03,1,27,0.58,0.06,0.04,54,4,0.04,0.3,0.19,0.68
The Individual,Spiritualized,Ladies And Gentlemen We Are Floating In Space,2018-06-03,1,24,0.02,0.07,0.05,77,1,0.04,0.65,0.63,0.86
Home Of The Brave,Spiritualized,Ladies And Gentlemen We Are Floating In Space,2018-06-03,1,25,0.42,0.46,0.04,129,4,0.17,0.51,0.64,0.05
Electricity,Spiritualized,Ladies And Gentlemen We Are Floating In Space,2018-06-03,1,26,0.03,0.25,0.05,151,4,0.23,0.86,0.6,0.0
Stay With Me,Spiritualized,Ladies And Gentlemen We Are Floating In Space,2018-06-03,1,27,0.01,0.4,0.03,129,5,0.07,0.28,0.1,0.9
Magic Shop,BTS,Love Yourself 轉 'Tear',2018-06-30,1,71,0.1,0.54,0.09,149,4,0.28,0.66,0.08,0.0
Love Maze,BTS,Love Yourself 轉 'Tear',2018-06-30,1,73,0.05,0.64,0.06,149,4,0.76,0.88,0.07,0.0
